,FC,FC,FC,FC,FC,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR
Tissue,CSF,CTX,CTX,SPC,SPC,CSF,CTX,CTX,SPC,SPC,sum_significant
Fraction,CSF,insoluble,soluble,insoluble,soluble,CSF,insoluble,soluble,insoluble,soluble,
Leading_Gene,,,,,,,,,,,
1433B,,,,,-0.0364664288846923,,,,,0.88531799535722,0
1433E,,,,,-0.0375534746824706,,,,,0.867590411347488,0
1433F,,,,,0.00499030182093518,,,,,0.98528280431518,0
1433G,,,,,-0.175758132927498,,,,,0.295449820062372,0
1433T,,,,,-0.0959961022277205,,,,,0.616223700716773,0
1433Z,,,,,-0.0424324004969412,,,,,0.868163488579233,0
2A5B,,,,,0.0522700642573978,,,,,0.877005428405924,0
2A5D,,,,,-0.0962452123776872,,,,,0.357948649142824,0
2A5G,,,,,0.0551587191920037,,,,,0.843574419349803,0
2AAA,,,,,-0.189763203302818,,,,,0.0907996245714792,0
2ABA,,,,,-0.404121043257172,,,,,0.014332808612521,1
2ABG,,,,,-0.189022883452335,,,,,0.884083683300205,0
3HIDH,,,,,0.282363927757223,,,,,0.244382983889158,0
4F2,,,,,-0.0114946723343481,,,,,0.971463783287766,0
5NTD,,,,,0.203044899447301,,,,,0.565301525791874,0
6PGD,,,,,0.475816208069568,,,,,0.152530840280111,0
6PGL,,,,,-0.0524050911764003,,,,,0.88531799535722,0
A16L1,,,,,-0.432437707661102,,,,,0.4760319682298,0
A1AT,,,,,0.0451963900412355,,,,,0.954983741514073,0
A1BG,-0.0913876673286182,,0.13837166464605,,0.145770469426689,0.9962090509916655,,0.824360424047121,,0.78213483198999,0
A2M,0.0463176313269322,,0.0151048404318834,,,0.9962090509916655,,0.983898357195414,,,0
A2MG,,,,,0.0784974912420417,,,,,0.900156572690594,0
A4,,,,,-0.276497154667793,,,,,0.705174681121398,0
A4GALT,0.0810064319485164,,,,,0.9962090509916655,,,,,0
AACS,,,0.245427958205209,,-0.0978625637567743,,,0.470658576080711,,0.884083683300205,0
AACT,,,,,0.247205500688285,,,,,0.761739475770373,0
AAK1,,-0.100761133582625,-0.225202225171475,-0.328795872083556,-0.1816691313129,,0.880452023886478,0.252306262942617,0.627300920141338,0.372306353926425,0
AAKB1,,,,,0.0434988288876194,,,,,0.954063149360048,0
AAKB2,,,,,-0.10345037590466,,,,,0.772177439709051,0
AAKG1,,,,,0.00769532260866826,,,,,0.973578641844275,0
AAKG2,,,,,0.0902546765927084,,,,,0.882841219882704,0
AAMP,,,0.273462053488559,,-0.0341057979166286,,,0.431308475893852,,0.96579487612635,0
AAPK1,,,,,-0.19013066462749,,,,,0.15275948722721,0
AAPK2,,,,,-0.126046535088489,,,,,0.502901488385713,0
AARS1,,-0.149435237827717,-0.15762004186051,-0.00535042519587797,,,0.788506098620842,0.300339511499474,0.98416665725814,,0
AARS2,,-0.101118822610352,-0.12974537058385,-0.680524462537026,,,0.890406590090763,0.721412971207397,,,0
AARSD1,,0.0705176582473687,-0.0173136615282187,-0.146734612257989,,,0.890406590090763,0.958442085329266,,,0
AASD1,,,,,-0.282501454654303,,,,,0.490014819913491,0
AASDHPPT,,,-0.0167575531867725,,,,,0.987366323504566,,,0
AATC,,,,,-0.112972805885529,,,,,0.864358106691291,0
AATM,,,,,-0.135689176026116,,,,,0.752847503283876,0
AB17B,,,,,0.172941223952921,,,,,0.730917336773692,0
AB17C,,,,,0.16728172403878,,,,,0.648170277980058,0
ABAT,,-0.101457541324606,0.139803274719464,0.437917992098937,,,0.818050422085317,0.531034983766839,0.27617144095698,,0
ABCA2,,-0.0101423118360499,0.00417801303500048,-0.372711054059665,0.162862671321524,,0.998589987665774,0.983898357195414,,0.349322249511865,0
ABCA8,,,0.0329845506378812,,0.33211356453808,,,0.980715019189533,,0.668188926195574,0
ABCB7,,,-0.281155179503049,,0.0375372970672232,,,0.619311051043395,,0.965620935026441,0
ABCD3,,-0.0936818931454602,0.00395873009194259,-0.253192794816997,0.0398940802349319,,0.846444048001371,0.981039078194822,0.525889191437818,0.856910623010097,0
ABCE1,,,-0.210978948924477,,-0.271783976327614,,,0.46660824003178,,0.673656402767184,0
ABCF1,,-0.0188144380470167,-0.0998681432267701,-0.412914190291666,0.218765199621219,,0.98453804779199,0.473442607707975,,0.413808482724831,0
ABCF2,,,-0.19600742661171,,0.210822048643187,,,0.546387463718318,,0.4760319682298,0
ABD12,,,,,0.146072498357495,,,,,0.74811264574349,0
ABHD10,,,0.289675924590049,,,,,0.392738415231811,,,0
ABHD11,,-0.0743698400594754,0.130346314583149,0.0275300597878596,,,0.900037904528893,0.473082817019538,,,0
ABHD12,,,0.356378358290985,,,,,0.331677553432816,,,0
ABHD14A,0.110408739610152,,,,,0.9595208764726064,,,,,0
ABHD14B,0.0600951548778639,,-0.187186092168532,,,0.9962090509916655,,0.684729732067397,,,0
ABHD17B,,,0.216490183124052,,,,,0.660751942698959,,,0
ABHD17C,,,-0.14382012063762,,,,,0.900692606241268,,,0
ABHD6,,,-0.113541170263904,,-0.185570734087361,,,0.829856520305275,,0.724428890683569,0
ABHDA,,,,,0.121729825276424,,,,,0.712552427976339,0
ABHDB,,,,,0.0837649866660846,,,,,0.705174681121398,0
ABHEB,,,,,0.336798790021307,,,,,0.399320697700412,0
ABI1,,,0.214183533881734,,-0.350664804963312,,,0.66768833493721,,0.71951610099379,0
ABI2,,,0.126061541052128,,0.406278488596117,,,0.640583207337949,,0.539265394806077,0
ABI3BP,0.0228058786103222,,,,,0.9962090509916655,,,,,0
ABL1,,,-0.215872845189555,,-0.926950991781545,,,0.618353988790624,,0.296312432578667,0
ABLIM1,,0.400627584504507,0.169635913833889,-0.0501664054267084,,,0.265950155397415,0.199543239125172,0.924305831765343,,0
ABLIM2,,0.041372834026371,0.019174756115057,-0.22551457917339,,,0.936428947974618,0.876575666766215,0.835069180986058,,0
ABLIM3,,-0.0899341627065904,0.0383418049142985,0.00698236113115791,,,0.880649376212214,0.966263864172868,0.98425105140634,,0
ABLM1,,,,,-0.171637890044906,,,,,0.273609435051792,0
ABLM2,,,,,-0.248459180773606,,,,,0.357948649142824,0
ABLM3,,,,,0.0917118933716495,,,,,0.884083683300205,0
ABR,,0.0401701649373354,0.0267321376710254,-0.125703741639012,0.240475273592837,,0.940059011527766,0.92299020852116,0.727275179660839,0.0211993871812398,1
ACAA1,,,0.0550520897770448,,,,,0.951976352046858,,,0
ACAA2,,0.12408252165888,-0.188072679079744,-0.0740405470063515,,,0.900213310971527,0.546387463718318,0.87304432397385,,0
ACACA,,-0.186206153207472,-0.0321247229632895,-0.162756779565507,-0.124425604757702,,0.747520314725791,0.874651784450798,0.569197478172481,0.554005389277978,0
ACAD9,,,0.174042355388738,,0.123988065814037,,,0.752431436374236,,0.777292530367292,0
